,country_name,independent,un_member,start_Of_Week,official_country_name,common_native_name,idd_root,idd_suffixes,capital,region,sub_region,languages,area,population,continents,currencies
208,Guatemala,True,True,monday,Republic of Guatemala,,+5,['02'],['Guatemala City'],Americas,Central America,Spanish,108889.0,16858333,['North America'],"Guatemalan quetzal, Q"
209,Ecuador,True,True,monday,Republic of Ecuador,,+5,['93'],['Quito'],Americas,South America,Spanish,276841.0,17643060,['South America'],"United States dollar, $"
210,Martinique,False,False,monday,Martinique,,+5,['96'],['Fort-de-France'],Americas,Caribbean,French,1128.0,378243,['North America'],"Euro, €"
211,Tajikistan,True,True,monday,Republic of Tajikistan,,+9,['92'],['Dushanbe'],Asia,Central Asia,"Russian, Tajik",143100.0,9537642,['Asia'],"Tajikistani somoni, ЅМ"
212,Malta,True,True,monday,Republic of Malta,Malta,+3,['56'],['Valletta'],Europe,Southern Europe,"English, Maltese",316.0,525285,['Europe'],"Euro, €"
213,Gambia,True,True,monday,Republic of the Gambia,Gambia,+2,['20'],['Banjul'],Africa,Western Africa,English,10689.0,2416664,['Africa'],"dalasi, D"
214,Nigeria,True,True,monday,Federal Republic of Nigeria,Nigeria,+2,['34'],['Abuja'],Africa,Western Africa,English,923768.0,206139587,['Africa'],"Nigerian naira, ₦"
215,Bahamas,True,True,monday,Commonwealth of the Bahamas,Bahamas,+1,['242'],['Nassau'],Americas,Caribbean,English,13943.0,393248,['North America'],"United States dollar, $, Bahamian dollar, $"
216,Kosovo,,False,monday,Republic of Kosovo,,+3,['83'],['Pristina'],Europe,Southeast Europe,"Serbian, Albanian",10908.0,1775378,['Europe'],"Euro, €"
217,Kuwait,True,True,sunday,State of Kuwait,,+9,['65'],['Kuwait City'],Asia,Western Asia,Arabic,17818.0,4270563,['Asia'],"Kuwaiti dinar, د.ك"
218,Maldives,True,True,sunday,Republic of the Maldives,,+9,['60'],['Malé'],Asia,Southern Asia,Maldivian,300.0,540542,['Asia'],"Maldivian rufiyaa, .ރ"
219,South Sudan,True,True,sunday,Republic of South Sudan,South Sudan,+2,['11'],['Juba'],Africa,Middle Africa,English,619745.0,11193729,['Africa'],"South Sudanese pound, £"
220,Iran,True,True,saturday,Islamic Republic of Iran,,+9,['8'],['Tehran'],Asia,Southern Asia,Persian (Farsi),1648195.0,83992953,['Asia'],"Iranian rial, ﷼"
